film,filmLabel,publicationYear,assessmentLabel,outcomeLabel,reviewScore
http://www.wikidata.org/entity/Q275432,Ранго,2011,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q277157,"Облачно, возможны осадки: Месть ГМО",2013,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q277157,"Облачно, возможны осадки: Месть ГМО",2013,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q277157,"Облачно, возможны осадки: Месть ГМО",2013,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q277157,"Облачно, возможны осадки: Месть ГМО",2013,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q284042,Обитель зла: Вырождение,2008,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q300042,Пробуждение жизни,2002,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q300042,Пробуждение жизни,2001,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q300345,Кошачья жизнь,2013,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q300345,Кошачья жизнь,2012,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q300345,Кошачья жизнь,2010,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q300345,Кошачья жизнь,2010,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2008,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2002,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2002,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2002,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2002,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2002,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q305250,Ледниковый период,2002,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318428,Уоллес и Громит: Проклятие кролика-оборотня,2005,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Тауриэль,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Russ Test,не проходит,1/2
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Coates Test,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,reverse Waithe Test,проходит,3/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Ландау,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Topside Test,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Фельдмана,не проходит,1/10
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Ландау,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,BubbleGum Test,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Celia Imrie Test,не проходит,1.5/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Шукла,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Мако Мори,не проходит,2/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Raleigh Becket Test,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Тест Лины Уэйт,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Тауриэль,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Russ Test,не проходит,1/2
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Coates Test,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,reverse Waithe Test,проходит,3/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Ландау,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Topside Test,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Фельдмана,не проходит,1/10
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Ландау,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,BubbleGum Test,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Celia Imrie Test,не проходит,1.5/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Шукла,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Мако Мори,не проходит,2/3
